Old 97's 
Trees Lounge
Dallas, TX
November 02, 2001

SBD>?>CD>EAC>SHN


Disc 1 

d1t01	Buick City Complex
d1t02	Barrier Reef
d1t03	Dancing With Tears
d1t04	Up the Devil's Pay
d1t05	Just Like California
d1t06	crowd
d1t07	Bird in a Cage
d1t08	Salome
d1t09	Crash on the Barrelhead
d1t10	What I Wouldn't Do
d1t11	Doreen
d1t12	Old Familiar Steam
d1t13	West Texas Teardrops
d1t14	Designs on You

Disc 2

d2t01	Drowning in the Days
d2t02	Indefinitely
d2t03	My Sweet Blue-Eyed Darling
d2t04	Nervous Guy
d2t05	What We Talk About
d2t06	King of All the World
d2t07	Four Leaf Clover & Valentine
d2t08	Rollerskate Skinny
d2t09	Stoned
d2t10	Big Brown Eyes
d2t11	Victoria
d2t12	Timebomb


